ligand,sample,n_pocket_residues_touched,donor_to_centroid,rg_about_donor,centroid_fe_dist,azimuth_about_axis,distal_half_contacts,distal_half_buried_frac,contact_consensus
QDP,pred.model_idx_8,12,7.137471513043407,8.647744339164724,8.96917462569287,-1.7321596867436235,105,0.36363636363636365,0.7237751083339319
QDP,pred.model_idx_9,16,6.791865324392951,8.37438064044805,8.675406023557644,53.529510320764516,129,0.5,0.7498184458968773
QDV,pred.model_idx_0,13,5.815954905742048,7.237776383323817,7.813885135809523,33.338142502563876,95,0.4,0.8193342151675486
QDV,pred.model_idx_1,14,6.310581810538548,7.796775471308636,8.15782762060464,-31.464289763826056,139,0.6,0.7276234567901234
QDV,pred.model_idx_2,14,5.921897135789763,7.304943084993886,7.926036764163726,109.51506522906003,143,0.65,0.7832072010090586
QDV,pred.model_idx_3,15,5.693611242326789,7.226032213462655,7.630352746023607,-6.869032748621867,103,0.35,0.8395725834193327
QDV,pred.model_idx_4,13,5.677084064960198,7.108558178350937,7.769172667062112,85.67200157383577,84,0.4,0.7634518622263721
QDV,pred.model_idx_5,14,5.754162576344189,7.149958919462406,7.7493674099890235,36.62459702504462,111,0.4,0.8478615520282188
QDV,pred.model_idx_6,14,5.795430167975022,7.282447540147475,7.949261835659647,74.17776784534773,100,0.45,0.8478615520282188
QDV,pred.model_idx_7,15,5.994497806843372,7.530480243649803,8.035416115936373,109.03513543301017,90,0.35,0.5857699805068226
QDV,pred.model_idx_8,13,5.900267614799349,7.331392337066678,7.913189162799661,65.69638283645236,97,0.4,0.8193342151675486
QDV,pred.model_idx_9,15,6.43072955819361,7.944085537366776,8.36245524954394,100.51753358650815,133,0.45,0.7468681917211328
QDY,pred.model_idx_0,14,6.010330568936135,7.3523555939908,7.916436092178519,31.03271959128587,103,0.45,0.8506535947712419
QDY,pred.model_idx_1,14,6.105572851821479,7.722373074543798,7.930471873828341,15.614423308186927,154,0.7,0.7694444444444444
QDY,pred.model_idx_2,14,5.78516780318474,7.197631685356565,7.771595309673993,77.46809276089292,147,0.65,0.835838779956427
QDY,pred.model_idx_3,15,5.567623037840579,7.078782164103461,7.504402251022508,-24.23186905908073,100,0.35,0.8937636165577341
QDY,pred.model_idx_4,14,5.663590631548227,7.105324707226402,7.696717083676072,60.64961895502603,104,0.4,0.8916005291005291
QDY,pred.model_idx_5,14,5.712088655253254,7.124619490053401,7.691685761538456,33.89249174878812,118,0.5,0.8916005291005291
QDY,pred.model_idx_6,14,5.702794570380136,7.198291677416992,7.8715980191681405,70.12389026190917,103,0.5,0.8916005291005291
QDY,pred.model_idx_7,13,6.262938274710809,7.619861360047272,8.145798134466121,45.36750645500463,140,0.65,0.8576719576719576
QDY,pred.model_idx_8,14,5.8400121148917234,7.29105417952579,7.850120598087722,67.01982037158666,92,0.4,0.8506535947712419
QDY,pred.model_idx_9,15,6.312137362658422,7.829568637465316,8.225489469441785,86.79758876666364,120,0.5,0.7776688453159042
QE4,pred.model_idx_0,12,6.0024242493450535,7.3207841626493515,7.928226265867042,23.742202337571644,112,0.45,0.7530864197530863
QE4,pred.model_idx_1,16,6.4841181356010695,8.190848009940803,8.37768239948702,53.82038900863727,127,0.55,0.7749302450024844
