ligand,poses,n_donors_no3a,n_donors_with3a,mean_fragment_atoms,oracle,random_mean,frag_cons_selected,incumbent_selected,delta_frag_minus_incumbent,within_ligand_rho,crystal_percentile_on_feature,mean_transfer_distance_A
MWS,20,582,705,6.8436426116838485,0.8143872113676731,0.6678285968028419,0.6793960923623452,0.735790408525754,-0.05639431616340873,0.4270676691729323,0.45,5.34654960015283
MWV,20,477,601,6.368972746331237,0.5683890577507599,0.39770136778115495,0.414893617021277,0.4076747720364747,0.007218844984802297,-0.06766917293233082,1.0,5.745980553950654
MWY,20,126,128,11.357142857142858,0.4007042253521127,0.37200704225352116,0.40070422535211236,0.35211267605633756,0.048591549295774805,-0.5500377779809935,1.0,4.922753863249506
MYT,20,151,218,6.311258278145695,0.9594972067039106,0.7404329608938547,0.6843575418994422,0.9594972067039096,-0.2751396648044674,0.5101581579632197,0.4,2.358501386168777
NH0,20,522,650,6.977011494252873,0.7754329004329004,0.7216450216450216,0.576839826839827,0.7294372294372303,-0.1525974025974033,-0.007518796992481202,0.15,4.53378158853714
NI6,20,522,650,6.969348659003831,0.7998204667863555,0.7476885098743267,0.7948833034111314,0.7365350089766599,0.05834829443447154,0.009022556390977442,0.0,4.496953601187444
NJ0,20,523,652,7.011472275334608,0.321685878962536,0.26862391930835733,0.2600864553314124,0.2449567723342941,0.015129682997118282,0.024078261142806826,0.15,4.536912857449078
NJO,20,523,651,7.047801147227533,0.7381481481481481,0.6979074074074074,0.6985185185185186,0.6829629629629628,0.015555555555555878,0.2971041955124701,0.65,4.572165127360685
NXR,20,522,650,7.078544061302682,0.9201570680628272,0.831391797556719,0.8904886561954636,0.9149214659685877,-0.02443280977312412,-0.2571428571428572,1.0,4.610167629856944
NYF,20,524,652,7.08587786259542,0.8461262553802009,0.7810616929698708,0.7360114777618355,0.8253228120516505,-0.08931133428981497,0.03008650081138938,1.0,4.667418008664524
PK9,20,258,346,6.267441860465116,0.5095663265306123,0.2971938775510204,0.4674744897959186,0.39668367346938743,0.07079081632653117,-0.512781954887218,0.0,3.932019453149202
PKT,20,522,651,6.603448275862069,0.4983031674208145,0.3070418552036199,0.3699095022624437,0.3699095022624437,0.0,-0.4781954887218045,1.0,8.232801434272094
QDJ,20,522,651,7.084291187739463,0.6410934744268078,0.5422619047619047,0.27028218694885325,0.6410934744268079,-0.3708112874779546,0.23759398496240602,0.1,4.355073617144677
QDP,20,520,649,7.098076923076923,0.7466832504145937,0.7146144278606965,0.7334162520729687,0.7288557213930341,0.00456053067993456,-0.33082706766917286,1.0,4.408672467281039
QDV,20,522,648,7.450191570881226,0.752177068214804,0.4839259796806966,0.513788098693759,0.5410014513788105,-0.02721335268505154,-0.2827067669172932,0.05,5.1220420474950155
QDY,20,522,642,7.124521072796935,0.6525157232704403,0.39235455974842764,0.6525157232704403,0.3675314465408804,0.2849842767295599,0.16240601503759397,0.85,4.538107888877276
QE4,20,522,642,7.124521072796935,0.8060064935064934,0.7093141233766235,0.5182629870129878,0.7642045454545462,-0.2459415584415584,-0.1639097744360902,0.55,4.558532276378509
QEA,20,522,648,7.450191570881226,0.5888605442176871,0.4610331632653062,0.4230442176870746,0.5276360544217693,-0.10459183673469469,-0.06766917293233082,0.05,5.1076309154402475
QEP,20,523,652,7.147227533460803,0.6098130841121495,0.5354166666666668,0.5891744548286606,0.5989096573208733,-0.009735202492212713,-0.7022556390977444,1.0,5.139231473594961
QES,20,523,651,6.741873804971319,0.7270249221183801,0.6315809968847352,0.7270249221183811,0.6487538940809968,0.07827102803738428,-0.16240601503759397,1.0,5.289651993768962
RIT,20,574,695,7.026132404181185,0.719790382244143,0.6900739827373614,0.6945129469790386,0.7145499383477183,-0.020036991368679646,0.33533834586466166,0.0,4.79939357729739
T0K,20,523,651,7.047801147227533,0.2568807339449541,0.23490061162079506,0.240061162079511,0.2308868501529049,0.009174311926606116,-0.2627024632756475,0.0,4.568430430172848
TCI,20,577,696,6.953206239168111,0.4256594724220623,0.3645083932853716,0.25419664268585146,0.3003597122302158,-0.04616306954436433,0.7830011836164085,0.0,4.982405604114772
X5Y,20,522,642,7.0344827586206895,0.8113026819923371,0.7414511494252874,0.5953065134099617,0.7528735632183915,-0.15756704980842984,0.14065439129324533,0.05,4.481748781019244
X6J,20,522,642,7.134099616858237,0.7451754385964913,0.6710087719298246,0.6548245614035084,0.5811403508771925,0.07368421052631591,-0.3805942352640757,0.9,4.60399912017972
X6S,20,522,642,7.134099616858237,0.8311638591117918,0.7100114854517612,0.7622511485451755,0.7978560490045937,-0.03560490045941822,-0.26766917293233083,0.85,4.60986246806052
X6V,20,522,648,7.467432950191571,0.492397137745975,0.4134615384615385,0.440966010733452,0.440966010733452,0.0,-0.4812030075187969,0.9,5.636201104241998
X71,20,522,651,7.038314176245211,0.8014440433212996,0.5879061371841154,0.481046931407942,0.7942238267148006,-0.3131768953068586,-0.2992481203007519,0.2,4.661497049561747
X74,20,522,642,7.134099616858237,0.7844287949921752,0.6699921752738656,0.7288732394366187,0.7523474178403758,-0.023474178403757096,-0.306766917293233,0.2,4.614406087123913
X7D,20,522,642,7.134099616858237,0.801405325443787,0.7009245562130177,0.7278106508875746,0.7747781065088758,-0.046967455621301224,-0.2556390977443609,0.95,4.600002914096203
X7J,20,522,642,7.0344827586206895,0.7407216494845361,0.7144845360824743,0.5298969072164956,0.729381443298969,-0.1994845360824734,0.431578947368421,0.1,4.476577157087595
X7M,20,522,642,7.0344827586206895,0.8415071770334928,0.8160885167464114,0.780502392344497,0.8175837320574152,-0.03708133971291816,0.6072236481951597,0.0,4.477219176261018
X7P,20,522,642,7.0344827586206895,0.5349872773536896,0.5050890585241731,0.4866412213740461,0.5349872773536898,-0.0483460559796437,-0.10324065569000467,0.9,4.480414456505885
Y83,20,523,651,6.741873804971319,0.6326955074875207,0.5856905158069883,0.5923460898502497,0.6326955074875208,-0.04034941763727107,0.35037593984962395,1.0,5.4068613246710076
YNV,20,137,148,15.883211678832117,0.6093429158110882,0.2893737166324435,0.25770020533880894,0.6093429158110885,-0.3516427104722795,0.23617903136940666,1.0,5.714552680462815
Z8Z,20,574,701,7.024390243902439,0.8010416666666667,0.6749479166666666,0.5989583333333333,0.7093750000000009,-0.1104166666666676,-0.08721804511278194,0.15,4.7919411796726
Z9Z,20,613,742,6.9820554649265905,0.7864046391752577,0.7009503865979382,0.6810567010309276,0.7055412371134017,-0.02448453608247403,-0.0015043250405694692,0.65,4.738726743569576
