ligand,sample,mean_rmsd_to_others,cluster_size,in_largest_cluster
A1ASU,pred.model_idx_4,9.115595748285081,1,False
A1ASU,pred.model_idx_5,8.908754465941513,1,False
A1ASU,pred.model_idx_6,6.878493610262738,1,False
A1ASU,pred.model_idx_7,8.434255040807809,1,False
A1ASU,pred.model_idx_8,7.628039947453775,1,False
A1ASU,pred.model_idx_9,7.123394984373849,1,False
CFF,pred.model_idx_0,6.546625927453895,1,True
CFF,pred.model_idx_1,5.009080019729655,1,False
CFF,pred.model_idx_2,7.533513791080389,1,False
CFF,pred.model_idx_3,5.24737797573957,1,False
CFF,pred.model_idx_4,6.528008186602649,1,False
CFF,pred.model_idx_5,6.907725081475714,1,False
CFF,pred.model_idx_6,5.642830557192996,1,False
CFF,pred.model_idx_7,5.66010044971385,1,False
CFF,pred.model_idx_8,5.645568766972916,1,False
CFF,pred.model_idx_9,5.65824819530956,1,False
A1BNX,pred.model_idx_0,7.266758668190901,1,True
A1BNX,pred.model_idx_1,6.691852613475765,1,False
A1BNX,pred.model_idx_2,9.238362489828651,1,False
A1BNX,pred.model_idx_3,6.439418977898627,1,False
A1BNX,pred.model_idx_4,8.283297164584052,1,False
A1BNX,pred.model_idx_5,8.252186272356997,1,False
A1BNX,pred.model_idx_6,6.514537148035329,1,False
A1BNX,pred.model_idx_7,7.838593161601823,1,False
A1BNX,pred.model_idx_8,6.817419823712005,1,False
A1BNX,pred.model_idx_9,6.827161310003641,1,False
A1CIW,pred.model_idx_0,7.347765881059407,1,True
A1CIW,pred.model_idx_1,7.12509939329512,1,False
A1CIW,pred.model_idx_2,9.973426004588548,1,False
A1CIW,pred.model_idx_3,7.183683325451614,1,False
A1CIW,pred.model_idx_4,8.911241170701496,1,False
A1CIW,pred.model_idx_5,9.877205667794202,1,False
A1CIW,pred.model_idx_6,6.617007014481885,1,False
A1CIW,pred.model_idx_7,8.16331110201439,1,False
A1CIW,pred.model_idx_8,7.872451270575041,1,False
A1CIW,pred.model_idx_9,7.333920230025395,1,False
CL6,pred.model_idx_0,5.871510182335683,1,True
CL6,pred.model_idx_1,4.696858136563761,1,False
CL6,pred.model_idx_2,7.080621937813613,1,False
CL6,pred.model_idx_3,4.921712207772112,1,False
CL6,pred.model_idx_4,6.195144649370583,1,False
CL6,pred.model_idx_5,6.48609884169161,1,False
CL6,pred.model_idx_6,5.030387364441147,1,False
CL6,pred.model_idx_7,5.870076370342925,1,False
CL6,pred.model_idx_8,5.259074218883584,1,False
CL6,pred.model_idx_9,4.995242866009075,1,False
D0R,pred.model_idx_0,8.043281041898759,1,True
D0R,pred.model_idx_1,8.205368757994297,1,False
D0R,pred.model_idx_2,10.007333948140378,1,False
D0R,pred.model_idx_3,7.890826855313315,1,False
D0R,pred.model_idx_4,9.380034119093454,1,False
D0R,pred.model_idx_5,9.656922433449852,1,False
D0R,pred.model_idx_6,7.1748355859553685,1,False
D0R,pred.model_idx_7,8.81737300381569,1,False
D0R,pred.model_idx_8,8.011535608555377,1,False
D0R,pred.model_idx_9,7.467777536872583,1,False
D7Y,pred.model_idx_0,6.815108785320486,1,True
D7Y,pred.model_idx_1,6.550906162345505,1,False
D7Y,pred.model_idx_2,9.751686167943921,1,False
D7Y,pred.model_idx_3,6.190747558136472,1,False
D7Y,pred.model_idx_4,8.351894192652361,1,False
D7Y,pred.model_idx_5,8.397664113288515,1,False
D7Y,pred.model_idx_6,6.026993838244028,1,False
D7Y,pred.model_idx_7,7.36506249907492,1,False
D7Y,pred.model_idx_8,6.9067828157302165,1,False
D7Y,pred.model_idx_9,6.7734269179462245,1,False
D7J,pred.model_idx_0,7.830411032872886,1,True
D7J,pred.model_idx_1,7.787788393008067,1,False
D7J,pred.model_idx_2,10.219130606703525,1,False
D7J,pred.model_idx_3,6.804952098421741,1,False
D7J,pred.model_idx_4,8.89272500050359,1,False
D7J,pred.model_idx_5,9.805007572476725,1,False
D7J,pred.model_idx_6,6.85880004906053,1,False
D7J,pred.model_idx_7,8.593964959128884,1,False
D7J,pred.model_idx_8,7.53303680095223,1,False
D7J,pred.model_idx_9,7.541277708387357,1,False
D7M,pred.model_idx_0,8.406847968899473,1,True
D7M,pred.model_idx_1,6.8745377773795004,1,False
D7M,pred.model_idx_2,10.402200972536301,1,False
D7M,pred.model_idx_3,7.243414143035169,1,False
D7M,pred.model_idx_4,9.647090241887536,1,False
D7M,pred.model_idx_5,8.789262393279444,1,False
D7M,pred.model_idx_6,6.959672513000204,1,False
D7M,pred.model_idx_7,8.234645298778862,1,False
D7M,pred.model_idx_8,8.340931184325395,1,False
D7M,pred.model_idx_9,7.494041766700996,1,False
D81,pred.model_idx_0,8.399488579087773,1,True
D81,pred.model_idx_1,7.601294776935755,1,False
D81,pred.model_idx_2,11.125341606243685,1,False
D81,pred.model_idx_3,7.795484840314982,1,False
D81,pred.model_idx_4,10.163774661319389,1,False
D81,pred.model_idx_5,9.7754339611882,1,False
D81,pred.model_idx_6,7.419231787597356,1,False
D81,pred.model_idx_7,8.935407264317202,1,False
D81,pred.model_idx_8,8.655521154346165,1,False
D81,pred.model_idx_9,8.05349039119475,1,False
DEJ,pred.model_idx_0,7.232148058231497,1,True
DEJ,pred.model_idx_1,7.909991848705068,1,False
DEJ,pred.model_idx_2,9.684499245359516,1,False
DEJ,pred.model_idx_3,6.75396810480143,1,False
DEJ,pred.model_idx_4,9.584997595592766,1,False
DEJ,pred.model_idx_5,9.514574012952885,1,False
DEJ,pred.model_idx_6,6.630290849951286,1,False
DEJ,pred.model_idx_7,7.983172011369735,1,False
DEJ,pred.model_idx_8,7.327050785028316,1,False
DEJ,pred.model_idx_9,7.193083157199417,1,False
ERY,pred.model_idx_0,7.949587731937781,1,True
ERY,pred.model_idx_1,9.179932525809287,1,False
ERY,pred.model_idx_2,10.11019909179641,1,False
ERY,pred.model_idx_3,7.9744968625358785,1,False
ERY,pred.model_idx_4,9.446945229089879,1,False
ERY,pred.model_idx_5,9.792640115625135,1,False
ERY,pred.model_idx_6,7.097308564427705,1,False
ERY,pred.model_idx_7,10.351803673389488,1,False
ERY,pred.model_idx_8,7.615835040698142,1,False
ERY,pred.model_idx_9,7.758478473882281,1,False
DEV,pred.model_idx_0,8.174218065248077,1,True
DEV,pred.model_idx_1,7.6183923515796135,1,False
DEV,pred.model_idx_2,10.411326995771109,1,False
DEV,pred.model_idx_3,7.231991951557138,1,False
DEV,pred.model_idx_4,9.172035385067975,1,False
DEV,pred.model_idx_5,9.104791904738333,1,False
DEV,pred.model_idx_6,7.2016727589144836,1,False
DEV,pred.model_idx_7,8.580244219447918,1,False
DEV,pred.model_idx_8,7.850049611289224,1,False
DEV,pred.model_idx_9,7.479995627446652,1,False
DJ1,pred.model_idx_0,7.944561413578388,1,True
DJ1,pred.model_idx_1,8.064395261186958,1,False
DJ1,pred.model_idx_2,9.993588346551958,1,False
DJ1,pred.model_idx_3,7.414184422682,1,False
DJ1,pred.model_idx_4,9.25192314794207,1,False
DJ1,pred.model_idx_5,9.40382642183959,1,False
DJ1,pred.model_idx_6,7.122022900612636,1,False
DJ1,pred.model_idx_7,8.186711785834405,1,False
DJ1,pred.model_idx_8,8.100880607523926,1,False
DJ1,pred.model_idx_9,7.656254924006303,1,False
FZV,pred.model_idx_0,7.878949705083165,1,True
FZV,pred.model_idx_1,7.087851701176556,1,False
FZV,pred.model_idx_2,10.078286679477234,1,False
FZV,pred.model_idx_3,7.2870205485161454,1,False
FZV,pred.model_idx_4,9.002998771463963,1,False
FZV,pred.model_idx_5,9.11316142796433,1,False
FZV,pred.model_idx_6,7.1746467195735715,1,False
FZV,pred.model_idx_7,9.095581973342355,1,False
FZV,pred.model_idx_8,7.814320161281554,1,False
FZV,pred.model_idx_9,7.277688127888506,1,False
G0D,pred.model_idx_0,7.8637462923176535,1,True
G0D,pred.model_idx_1,7.0590955042842305,1,False
G0D,pred.model_idx_2,9.99309153832506,1,False
G0D,pred.model_idx_3,7.193215459089686,1,False
G0D,pred.model_idx_4,9.002572001775569,1,False
G0D,pred.model_idx_5,8.705455629122143,1,False
G0D,pred.model_idx_6,7.254816012064314,1,False
G0D,pred.model_idx_7,8.621593252749113,1,False
G0D,pred.model_idx_8,7.812464250749291,1,False
G0D,pred.model_idx_9,7.8000031077366145,1,False
G0J,pred.model_idx_0,8.221237189250859,1,True
G0J,pred.model_idx_1,7.206197331930146,1,False
G0J,pred.model_idx_2,9.710637671319283,1,False
G0J,pred.model_idx_3,7.695195362535109,1,False
G0J,pred.model_idx_4,9.975527717063112,1,False
G0J,pred.model_idx_5,9.214068316472991,1,False
G0J,pred.model_idx_6,7.128039622409471,1,False
G0J,pred.model_idx_7,8.297086215835131,1,False
G0J,pred.model_idx_8,8.134742579598846,1,False
G0J,pred.model_idx_9,7.367738698663846,1,False
G0M,pred.model_idx_0,7.881609248666982,1,True
G0M,pred.model_idx_1,7.192829308576066,1,False
G0M,pred.model_idx_2,9.930749622758547,1,False
G0M,pred.model_idx_3,7.247308286934796,1,False
G0M,pred.model_idx_4,8.899476323936033,1,False
G0M,pred.model_idx_5,8.743556698936258,1,False
G0M,pred.model_idx_6,7.163243488824469,1,False
G0M,pred.model_idx_7,8.91650379720882,1,False
G0M,pred.model_idx_8,7.743938385332608,1,False
G0M,pred.model_idx_9,7.3863279850984025,1,False
G0V,pred.model_idx_0,7.819447604983673,1,True
G0V,pred.model_idx_1,7.00552108584607,1,False
G0V,pred.model_idx_2,10.069779294584372,1,False
G0V,pred.model_idx_3,7.194950304635203,1,False
G0V,pred.model_idx_4,9.048609432908732,1,False
G0V,pred.model_idx_5,9.046940611795625,1,False
G0V,pred.model_idx_6,7.143136564239482,1,False
G0V,pred.model_idx_7,8.78698287790187,1,False
G0V,pred.model_idx_8,7.725833415361643,1,False
G0V,pred.model_idx_9,7.289894815552612,1,False
G1J,pred.model_idx_0,7.8800477648440665,1,True
G1J,pred.model_idx_1,7.156417660991551,1,False
G1J,pred.model_idx_2,10.195325499534713,1,False
G1J,pred.model_idx_3,7.264943308859596,1,False
G1J,pred.model_idx_4,9.12742691704115,1,False
G1J,pred.model_idx_5,9.067093447346862,1,False
G1J,pred.model_idx_6,7.3161321034078,1,False
G1J,pred.model_idx_7,8.961457814466614,1,False
G1J,pred.model_idx_8,7.926248907994345,1,False
G1J,pred.model_idx_9,7.814319802995777,1,False
J9K,pred.model_idx_0,7.198788343371683,1,True
J9K,pred.model_idx_1,7.192790778064449,1,False
J9K,pred.model_idx_2,9.164479103413804,1,False
J9K,pred.model_idx_3,6.762211114789333,1,False
J9K,pred.model_idx_4,9.397791435181572,1,False
J9K,pred.model_idx_5,9.027116451390103,1,False
J9K,pred.model_idx_6,6.193175764768916,1,False
J9K,pred.model_idx_7,7.846850057113774,1,False
J9K,pred.model_idx_8,7.085754285776087,1,False
J9K,pred.model_idx_9,7.225359029187274,1,False
KLN,pred.model_idx_0,9.328648776571898,1,True
KLN,pred.model_idx_1,9.594230486524946,1,False
KLN,pred.model_idx_2,11.776908422748077,1,False
KLN,pred.model_idx_3,9.022103318984783,1,False
KLN,pred.model_idx_4,11.158110487120886,1,False
KLN,pred.model_idx_5,11.398847478749637,1,False
KLN,pred.model_idx_6,8.172400846426804,1,False
KLN,pred.model_idx_7,10.243694137541242,1,False
KLN,pred.model_idx_8,9.454827963919065,1,False
KLN,pred.model_idx_9,9.064281516884668,1,False
MWV,pred.model_idx_0,9.613117116111662,1,True
MWV,pred.model_idx_1,11.446209628965352,1,False
MWV,pred.model_idx_2,12.163295456384335,1,False
MWV,pred.model_idx_3,9.2017223350739,1,False
MWV,pred.model_idx_4,11.759545928657051,1,False
MWV,pred.model_idx_5,12.60252438158517,1,False
MWV,pred.model_idx_6,8.814319175709178,1,False
MWV,pred.model_idx_7,11.808633380803187,1,False
MWV,pred.model_idx_8,10.16523948174391,1,False
MWV,pred.model_idx_9,9.469256281821002,1,False
MWS,pred.model_idx_0,7.64090635092628,1,True
MWS,pred.model_idx_1,8.58755024836658,1,False
MWS,pred.model_idx_2,9.962502116944316,1,False
MWS,pred.model_idx_3,6.747280119027001,1,False
MWS,pred.model_idx_4,9.78639300950229,1,False
MWS,pred.model_idx_5,9.296112381568665,1,False
MWS,pred.model_idx_6,6.655430762500223,1,False
MWS,pred.model_idx_7,7.859055699082002,1,False
MWS,pred.model_idx_8,7.513856480464057,1,False
MWS,pred.model_idx_9,7.261072308832262,1,False
MF8,pred.model_idx_0,5.509325542549964,2,True
MF8,pred.model_idx_1,4.475389207919189,1,False
MF8,pred.model_idx_2,6.190089038151266,1,False
MF8,pred.model_idx_3,4.834080734573264,1,False
MF8,pred.model_idx_4,5.6076671767866975,1,False
MF8,pred.model_idx_5,5.745231340627685,1,False
MF8,pred.model_idx_6,5.273068139110186,1,False
MF8,pred.model_idx_7,5.2753776700026105,2,True
MF8,pred.model_idx_8,5.164285017224078,1,False
MF8,pred.model_idx_9,5.196945062717931,1,False
MWY,pred.model_idx_0,7.258350137728218,1,True
MWY,pred.model_idx_1,7.64850312554528,1,False
MWY,pred.model_idx_2,9.864250411432474,1,False
MWY,pred.model_idx_3,6.790019737717805,1,False
MWY,pred.model_idx_4,9.776542094787342,1,False
MWY,pred.model_idx_5,9.758322707715397,1,False
MWY,pred.model_idx_6,6.577348133306008,1,False
MWY,pred.model_idx_7,8.098466642776414,1,False
MWY,pred.model_idx_8,7.458292252803866,1,False
MWY,pred.model_idx_9,7.466781433355109,1,False
MYT,pred.model_idx_0,7.492586379060845,1,True
MYT,pred.model_idx_1,6.03187177955672,1,False
MYT,pred.model_idx_2,9.301223818250392,1,False
MYT,pred.model_idx_3,6.361538104647831,1,False
MYT,pred.model_idx_4,8.264113621389113,1,False
MYT,pred.model_idx_5,8.410820339103005,1,False
MYT,pred.model_idx_6,6.597269856663824,1,False
MYT,pred.model_idx_7,7.267286413231058,1,False
MYT,pred.model_idx_8,7.332874817308855,1,False
