ligand,sample,lddt_pli,bisy_rmsd
A1A07,A1A07__r0s1,0.12072434607645875,10.673392544221581
A1A07,A1A07__r0s10,0.1096579476861167,9.309175308347541
A1A07,A1A07__r0s11,0.10261569416498995,11.694291889712396
A1A07,A1A07__r0s12,0.0694164989939638,14.93428414628889
A1A07,A1A07__r0s13,0.061871227364185113,14.829344626171222
A1A07,A1A07__r0s14,0.10764587525150907,11.657112814007164
A1A07,A1A07__r0s15,0.25553319919517103,6.790515928085626
A1A07,A1A07__r0s16,0.27414486921529174,10.449634305730665
A1A07,A1A07__r0s17,0.10865191146881288,11.182217305579197
A1A07,A1A07__r0s18,0.15593561368209255,8.314231522127354
A1A07,A1A07__r0s19,0.11116700201207244,12.85920353455773
A1A07,A1A07__r0s2,0.1710261569416499,11.353711001694265
A1A07,A1A07__r0s3,0.10211267605633803,12.661233919981388
A1A07,A1A07__r0s4,0.17655935613682094,9.253120251287609
A1A07,A1A07__r0s5,0.08601609657947686,14.377989138070049
A1A07,A1A07__r0s6,0.13832997987927564,11.220939507548453
A1A07,A1A07__r0s7,0.09205231388329979,10.450248002673025
A1A07,A1A07__r0s8,0.12072434607645874,10.089085431359274
A1A07,A1A07__r0s9,0.14185110663983902,9.966433625415114
A1A08,A1A08__r0s0,0.8621212121212122,1.328367862087518
A1A08,A1A08__r0s1,0.048484848484848485,11.929882492836713
A1A08,A1A08__r0s10,0.21464646464646464,8.695653362785357
A1A08,A1A08__r0s11,0.24595959595959593,8.103955986629968
A1A08,A1A08__r0s12,0.11717171717171718,14.094524833021097
A1A08,A1A08__r0s13,0.1106060606060606,8.553102718705679
A1A08,A1A08__r0s14,0.1106060606060606,12.823611600704334
A1A08,A1A08__r0s15,0.09595959595959595,12.301389556514904
A1A08,A1A08__r0s16,0.06262626262626263,12.408048663812657
A1A08,A1A08__r0s17,0.25151515151515147,8.985937608486966
A1A08,A1A08__r0s18,0.1313131313131313,10.781793653512418
A1A08,A1A08__r0s19,0.10808080808080808,11.097233162169466
A1A08,A1A08__r0s2,0.08787878787878788,13.463282229824456
A1A08,A1A08__r0s3,0.18282828282828284,8.090140115728664
A1A08,A1A08__r0s4,0.12878787878787878,12.227839062481504
A1A08,A1A08__r0s5,0.1782828282828283,11.671464061954708
A1A08,A1A08__r0s6,0.06464646464646465,10.020183491650778
A1A08,A1A08__r0s7,0.06111111111111111,8.705493024752524
A1A08,A1A08__r0s8,0.07626262626262625,9.922004353292717
A1A08,A1A08__r0s9,0.05606060606060606,10.4529205179337
