name,tag,rank,xeng
7UFD_T0K,run5_s42,1,0.6468149598234514
7UFD_T0K,run5_s42,2,0.82665490112668
7UFD_T0K,run5_s42,3,0.702327067698263
7UFD_T0K,run5_s42,4,0.7744933054571321
7UFE_NXR,run5_s42,0,0.8086262358490127
7UFE_NXR,run5_s42,1,0.8407088080281948
7UFE_NXR,run5_s42,2,0.905250850026633
7UFE_NXR,run5_s42,3,0.7979922055043398
7UFE_NXR,run5_s42,4,0.8061563281034742
7UFF_NYF,run5_s42,0,0.795008713441407
7UFF_NYF,run5_s42,1,0.8218991934087523
7UFF_NYF,run5_s42,2,0.7541541173943916
7UFF_NYF,run5_s42,3,0.9407477226952469
7UFF_NYF,run5_s42,4,0.870997541326454
8SO1_CFF,run5_s42,0,0.5223647340926658
8SO1_CFF,run5_s42,1,0.6640950822553483
8SO1_CFF,run5_s42,2,0.4575630677543825
8SO1_CFF,run5_s42,3,0.576067388879362
8SO1_CFF,run5_s42,4,1.3927108433776854
8SPD_CL6,run5_s42,0,0.7253942801833593
8SPD_CL6,run5_s42,1,0.420711456214837
8SPD_CL6,run5_s42,2,0.6763670743877505
8SPD_CL6,run5_s42,3,0.5292190163442131
8SPD_CL6,run5_s42,4,0.6577887184885486
9BBB_A1APA,run5_s42,0,1.0664858610919274
9BBB_A1APA,run5_s42,1,1.1330560218998103
9BBB_A1APA,run5_s42,2,1.0102866151681316
9BBB_A1APA,run5_s42,3,1.1931440600217857
9BBB_A1APA,run5_s42,4,1.10715188395851
9BV5_A1ASV,run5_s42,0,0.7149533628138949
9BV5_A1ASV,run5_s42,1,0.7918509129802934
9BV5_A1ASV,run5_s42,2,1.757514253635468
9BV5_A1ASV,run5_s42,3,1.5406766063216106
9BV5_A1ASV,run5_s42,4,0.6958958758212593
9BV6_A1ASU,run5_s42,0,0.878704348503293
9BV6_A1ASU,run5_s42,1,1.2438112998902546
9BV6_A1ASU,run5_s42,2,0.880294024880347
9BV6_A1ASU,run5_s42,3,1.8428261218987825
9BV6_A1ASU,run5_s42,4,2.302057191390008
9BV6_PG0,run5_s42,0,2.8704530135639064
9BV6_PG0,run5_s42,1,3.1393211602634223
9BV6_PG0,run5_s42,2,2.9751418459964927
9BV6_PG0,run5_s42,3,3.0062863897269323
9BV6_PG0,run5_s42,4,24.140129061127183
9BV7_A1AST,run5_s42,0,1.356269387903818
9BV7_A1AST,run5_s42,1,1.2528884406573568
9BV7_A1AST,run5_s42,2,1.390995376015917
